Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.8333333333333334,0.8059701492537313,0.9152542372881356,0.8571428571428571
Decision Tree,0.8333333333333334,0.8360655737704918,0.864406779661017,0.85
Support Vector Machine,0.7407407407407407,0.7313432835820896,0.8305084745762712,0.7777777777777778
Naive Bayes,0.5925925925925926,0.6056338028169014,0.7288135593220338,0.6615384615384615
Logistic Regression,0.5925925925925926,0.6086956521739131,0.711864406779661,0.65625
