Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.7222222222222222,0.7272727272727273,0.8,0.7619047619047619
Logistic Regression,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727273
Decision Tree,0.6666666666666666,0.7,0.7,0.7
Support Vector Machine,0.6111111111111112,0.6363636363636364,0.7,0.6666666666666666
Naive Bayes,0.5555555555555556,0.5833333333333334,0.7,0.6363636363636364
